time,Total energy consumption Swiss controlblock
2009-01-11,1416182246.8434997
2009-01-18,1419110971.0249987
2009-01-25,1390560600.0075006
2009-02-01,1395653947.5757513
2009-02-08,1361746361.297499
2009-02-15,1385018909.7607505
2009-02-22,1396957834.2947512
2009-03-01,1327867009.8170004
2009-03-08,1331236588.0802498
2009-03-15,1300131355.7087498
2009-03-22,1252864893.7204995
2009-03-29,1260211027.7592504
2009-04-05,1213069371.2449992
2009-04-12,1058480065.0532501
2009-04-19,1043221479.2857494
2009-04-26,1074515022.8697503
2009-05-03,1103945151.2707508
2009-05-10,1103596014.9715009
2009-05-17,1097188319.3737493
2009-05-24,1045321332.2887492
2009-05-31,1104159916.9894998
2009-06-07,1045648239.6374996
2009-06-14,1049588601.1639992
2009-06-21,1118141961.1722505
2009-06-28,1069712438.85275
2009-07-05,1102628154.18675
2009-07-12,1083111145.6635005
2009-07-19,1104213368.0019996
2009-07-26,1038354370.8900018
2009-08-02,998246367.6847497
2009-08-09,1018664622.7892495
2009-08-16,1060451325.2155004
2009-08-23,1108960383.17825
2009-08-30,1121266409.258499
2009-09-06,1124354661.4779992
2009-09-13,1109207025.8225005
2009-09-20,1132234712.1445
2009-09-27,1122842367.727499
2009-10-04,1110606244.8972502
2009-10-11,1134867341.86975
2009-10-18,1197808033.0817509
2009-10-25,1229016781.0672507
2009-11-01,1212383990.99
2009-11-08,1265052564.9425006
2009-11-15,1280670836.583501
2009-11-22,1238109521.2435007
2009-11-29,1271770269.5795004
2009-12-06,1368629389.762749
2009-12-13,1369666194.5037494
2009-12-20,1441749545.9307523
2009-12-27,1279866106.2872496
2010-01-03,1189000226.5854995
2010-01-10,1403511930.9674995
2010-01-17,1418283626.8955002
2010-01-24,1405723766.4020004
2010-01-31,1431896287.1239986
2010-02-07,1399224627.9117517
2010-02-14,1432147955.8004987
2010-02-21,1399389492.9790013
2010-02-28,1317122211.4402487
2010-03-07,1346799310.793001
2010-03-14,1417396273.1535003
2010-03-21,1289815152.9595006
2010-03-28,1235397318.750748
2010-04-04,1188038075.4802492
2010-04-11,1147483987.908248
2010-04-18,1211509049.7692513
2010-04-25,1163903838.3262506
2010-05-02,1121610612.5449994
2010-05-09,1176044395.515251
2010-05-16,1114820133.3695006
2010-05-23,1138339415.6647503
2010-05-30,1115640238.1282496
2010-06-06,1135028752.7655005
2010-06-13,1186948568.4842508
2010-06-20,1168362672.52725
2010-06-27,1122869464.2259998
2010-07-04,1162135915.6860006
2010-07-11,1140606085.822499
2010-07-18,1138106862.60475
2010-07-25,1086908704.2112498
2010-08-01,1018531133.4862508
2010-08-08,1028871341.4552513
2010-08-15,1082679322.5117497
2010-08-22,1109506530.383249
2010-08-29,1150874739.8682504
2010-09-05,1115870419.775999
2010-09-12,1114690923.8522503
2010-09-19,1138998989.3815005
2010-09-26,1141934536.0287514
2010-10-03,1171111508.512
2010-10-10,1153999324.342
2010-10-17,1206844048.4527514
2010-10-24,1251180091.8237495
2010-10-31,1285687530.3980007
2010-11-07,1241158166.5575001
2010-11-14,1298725786.5197487
2010-11-21,1329670273.7737505
2010-11-28,1403143251.5644991
2010-12-05,1468980650.4712515
2010-12-12,1420695715.1654997
2010-12-19,1498791172.1437497
2010-12-26,1346586122.6462493
2011-01-02,1297335551.2887511
2011-01-09,1389377143.8200004
2011-01-16,1360868758.61025
2011-01-23,1424927138.4072506
2011-01-30,1444247403.7850006
2011-02-06,1427286534.095752
2011-02-13,1348814188.1040003
2011-02-20,1359124075.4407504
2011-02-27,1392168497.4912493
2011-03-06,1372519532.2805
2011-03-13,1317279500.3500013
2011-03-20,1302146258.58425
2011-03-27,1255238318.0294995
2011-04-03,1220772786.2307491
2011-04-10,1149275465.9922519
2011-04-17,1158965343.3475013
2011-04-24,1076694688.0562499
2011-05-01,1082610154.9199996
2011-05-08,1126733297.7932508
2011-05-15,1142060298.5925007
2011-05-22,1125329660.3864996
2011-05-29,1139035481.0019999
2011-06-05,1072680766.8750006
2011-06-12,1120977986.4450004
2011-06-19,1119025864.2767487
2011-06-26,1133905557.0415003
2011-07-03,1165671403.8157501
2011-07-10,1150598415.7662501
2011-07-17,1155749756.6089983
2011-07-24,1088504762.7815008
2011-07-31,1003392477.2800002
2011-08-07,1028820800.3842496
2011-08-14,1075892641.2159998
2011-08-21,1124480834.8252501
2011-08-28,1167664338.977999
2011-09-04,1124422937.4280007
2011-09-11,1133437620.3167512
2011-09-18,1132039216.493501
2011-09-25,1118510284.74425
2011-10-02,1118037521.0387511
2011-10-09,1140369303.6217496
2011-10-16,1155410841.2249985
